organization_office,sub_office_role,category,phone,toll_free_alt,email,address,website,status,notes,source
"Division of FL Condominiums, Timeshares & Mobile Homes (DBPR)",General Information / Consumer Assistance,State Regulator,(850) 488-1122,(800) 226-9101,,"2601 Blair Stone Road, Tallahassee, FL 32399-1030",myfloridalicense.com/DBPR/condos-timeshares-mobilehomes,VERIFY,"Primary regulator for FL condo associations (Ch. 718). Regulates COAs, not HOAs except election/recall. Confirm current line.",FL-Condo-HOA-Master-Directory; FL_Condo_HOA_Resource_Directory
"Division of FL Condominiums, Timeshares & Mobile Homes (DBPR)",Complaints / Enforcement Intake,State Regulator,(850) 487-9948,,,"2601 Blair Stone Road, Tallahassee, FL 32399-1030",myfloridalicense.com/DBPR/condos-timeshares-mobilehomes,VERIFY,Enforcement/complaint intake. Fax historically (850) 488-7149. Confirm ZIP suffix used for complaints.,FL-Condo-HOA-Master-Directory
Condominium Ombudsman (DBPR),Advisory opinions; election monitors; owner assistance,State Ombudsman,850-922-7671,,ombudsman@myfloridalicense.com,,myfloridalicense.com/DBPR/condominiums-and-cooperatives,VERIFY,Neutral resource for owners/boards. Condo owners have this; HOA owners largely don't. Confirm line + email.,FL_Condo_HOA_Master_Directory(1); FL_Condo_HOA_Resource_Directory
DBPR — Unlicensed Activity Reporting,Complaint hotline,State Regulator,1-866-532-1440,,,,myfloridalicense.com,STALE,Report unlicensed CAM activity. From 2006 B&P bulletin — verify number.,SoFlo_Condo_Verify_Directory
DBPR — Regulatory Council of Community Association Managers,CAM licensing / regulation,State Regulator,,,,,myfloridalicense.com,VERIFY,"Governs CAMs under Ch. 468 Pt VIII, FS; Rule 61G-20 FAC.",SoFlo_Condo_Verify_Directory
Florida Legislature — Online Statutes (Online Sunshine),Full text of F.S. 718 / 719 / 720,State Statutes,,,,,leg.state.fl.us/Statutes/,CURRENT,Primary law source. FS 718 = Condo Act; 719 = Co-ops; 720 = HOA Act.,Multiple (FL_Condo_HOA_Resource_Directory; v1)
Miami-Dade Dept. of Regulatory & Economic Resources (RER),Community Association Registry,County Agency,,,,,miamidade.gov,CURRENT,Receives/manages community-association registrations. Annual deadline Feb 1. Enforced via Ch. 17D & 8CC.,FL_Condo_HOA_Resource_Directory
Miami-Dade Commission on Human Rights,Director's Office,County Agency,,,,,,VERIFY,Enforces housing anti-discrimination code (Ch. 11A). Sec. 11A-18.1 buyer/renter notice ordinance.,FL_Condo_HOA_Resource_Directory
Miami-Dade Solid Waste Management,Cart / recycling bin service,County Service,311 / 305-594-1500,,,,miami-dade.gov/dswm,CURRENT,Cart exchanges; bulky-item pickup (7–10 day lead). Community-ops reference.,FL_Condo_HOA_Resource_Directory
Broward County — Condo & HOA Board Information Portal,HOA/Condo information portal,County Resource,,,,"Broward County, FL",broward.org/hoa,CURRENT,"Links to F.S. 718/720, SB 4-D. Public records: broward.org/opengovernment/prr. Updated Jun 27 2022.",FL_Condo_HOA_Master_Directory(1); FL_Condo_HOA_Resource_Directory
Palm Beach County Clerk of the Circuit Court & Comptroller,Self-Service Center / Records,Court / Clerk,,,,"Palm Beach County, FL",mypalmbeachclerk.com,CURRENT,Trustee of county public records. Homeowner & Condo Owner Association Laws Workshop toolbox. Social @ClerkPBC.,FL_Condo_HOA_Master_Directory(1); v1(SRC-3)
15th Judicial Circuit Law Library,Public law library,Court / Law Library,,,,"West Palm Beach, FL",15thcircuit.com,VERIFY,Holds FL condo/HOA treatises & statutes (see Legal Reference Books tab). Confirm address/phone/public access.,FL_Condo_Master_Directory_v1(SRC-3)
The Florida Bar — Consumer Information,Consumer pamphlets (Real Property),State Bar / Consumer,,,,,floridabar.org/public/consumer/,CURRENT,Plain-language buyer guides. See 'Real Property' section.,FL_Condo_Master_Directory_v1(SRC-3)
FSU College of Law — Digitized Legal Collections,FL Statutes archive 1945–1996,Academic / Archive,,,,"Tallahassee, FL",law.fsu.edu/research-center/digitized-legal-collections,CURRENT,Historical statutes for older buildings/declarations.,FL_Condo_Master_Directory_v1(SRC-3)
FIU Jorge M. Pérez Metropolitan Center,Steven J. Green School of Int'l & Public Affairs,Research Institution,,,,"Miami, FL",,CURRENT,Publisher of 'Post-Champlain Towers Collapse and Condo Association Fees' research (MDC fee data).,FL-Condo-HOA-Master-Directory
