registration,association_name,address,type,registration_status,enforcement_status,reg_date
CR23002002,"4250 BISCAYNE BOULEVARD CONDOMINIUM ASSOCIATION, INC.",4250 BISCAYNE BOULEVARD MIAMI FLORIDA 33137,Condominium,Issued,No,01-31-2027
CR23002004,"IMPERIAL AT BRICKELL CONDOMINIUM ASSOCIATION, INC.",1627 BRICKELL AVENUE MIAMI FL 33129-1223,Condominium,Issued,No,01-31-2027
CR23002006,"GALLERY ART CONDOMINIUM ASSOCIATION, INC.",333 NE 24 ST MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002007,"ONE THOUSAND VENETIAN WAY CONDOMINIUM, INC",1000 VENETIAN WAY MIAMI BEACH FL 33139,Condominium,Issued,No,01-31-2027
CR23002008,"L'EXCELLENCE CONDOMINIUM ASSOCIATION, INC.",5757 COLLINS AVENUE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002009,"THE TOWER RESIDENCES CONDOMINIUM ASSOCIATION OF COCONUT GROVE, INC.",3400 SW 27TH AVE MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002011,"THE EXECUTIVE RESIDENCES CONDOMINIUM ASSOCIATION OF COCONUT GROVE, INC.",3350 SW 27 AVE MIAMI FL 33133,Condominium,Issued,No,01-31-2027
CR23002012,"KILLIAN PLACE HOMEOWNERS ASSOCIATION, INC.",9716 SW 110 STREET MIAMI FL 33176,Homeowner,Issued,No,01-31-2027
CR23002013,LAMIL TOWNHOUSE ASSOCIATION INC.,10601 SW 71 LANE MIAMI FL 33173,Homeowner,Issued,No,01-31-2027
CR23002016,"WATERWAYS MARINA CONDOMINIUM ASSOCIATION, INC.",3601 NE 207 ST AVENTURA FLORIDA 33180,Condominium,Issued,No,01-31-2027
CR23002019,"CORAL GATE WEST CONDOMINIUM ASSOCIATION, INC.",6970 - 7010 NW 186 STREET MIAMI FL 33015,Condominium,Issued,No,01-31-2027
CR23002020,"PARAISO BAY CONDOMINIUM ASSOCIATION, INC",650 NE 32ND ST MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002021,"COSTA BRAVA CONDOMINIUM OF BELLE ISLE, INC.",11 ISLAND AVENUE MIAMI BEACH FLORIDA 33139,Condominium,Issued,No,01-31-2027
CR23002022,"ICONBAY CONDOMINIUM ASSOCIATION, INC.",460 NE 28TH STREET 2ND FLOOR MIAMI FL 33137,Condominium,Issued,No,01-31-2027
CR23002024,"MYSTIC POINTE CONDOMINIUM NO. TWO ASSOCIATION, INC.",19195 MYSTIC POINTE DRIVE AVENTURA FL 33180-4502,Condominium,Issued,No,01-31-2027
CR23002025,"CRYSTAL HOUSE, INC.",5055 COLLINS AVE MIAMI BEACH FL 33140,Condominium,Issued,No,01-31-2027
CR23002026,"PARKVIEW POINT CONDOMINIUM ASSOCIATION, INC.",7441 WAYNE AVENUE MIAMI BEACH FL 33141,Condominium,Expired,Yes,01-31-2026
