url,domain,type,use_for_outbound_link
https://www.broward.org/hoa,broward.org,Government,Cite as primary source on statute/records pages
http://www.leg.state.fl.us/Statutes/,leg.state.fl.us,Government,Cite as primary source on statute/records pages
http://www.myfloridalicense.com/DBPR/,myfloridalicense.com,Government,Cite as primary source on statute/records pages
http://www.myfloridalicense.com/DBPR/condos-timeshares-mobilehomes/,myfloridalicense.com,Government,Cite as primary source on statute/records pages
http://www.myfloridalicense.com/DBPR/condominiums-and-cooperatives/condominium-ombudsman/,myfloridalicense.com,Government,Cite as primary source on statute/records pages
http://www.myfloridalicense.com/DBPR/condos-timeshares-mobile-homes/,myfloridalicense.com,Government,Cite as primary source on statute/records pages
https://www.mypalmbeachclerk.com,mypalmbeachclerk.com,Government,Cite as primary source on statute/records pages
https://www.mypalmbeachclerk.com/services/self-service-center/how-to-videos-toolboxes/homeowner-condo-owner-association-laws-workshop-toolbox,mypalmbeachclerk.com,Government,Cite as primary source on statute/records pages
http://www.state.fl.us/dbpr/lsc/arbitration/index.shtml,state.fl.us,Government,Cite as primary source on statute/records pages
https://www.sunrisefl.gov,sunrisefl.gov,Government,Cite as primary source on statute/records pages
https://www2.myfloridalicense.com/condos,www2.myfloridalicense.com,Government,Cite as primary source on statute/records pages
https://www.brickellhomeowners.org/,brickellhomeowners.org,Association,Building/association profile reference
https://www.browardlegalaid.org,browardlegalaid.org,Legal,Link on legal-help / dispute pages
https://www.browardlegalaid.org/services/housingconsumer,browardlegalaid.org,Legal,Link on legal-help / dispute pages
http://www.continentalconnect.com/serenitypalms/,continentalconnect.com,Other,General reference
"https://en.wikipedia.org/wiki/Aventura,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Bal_Harbour,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Bay_Harbor_Islands,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Biscayne_Park,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Coral_Gables,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Cutler_Bay,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Doral,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/El_Portal,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Florida_City,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Golden_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Hialeah,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Hialeah_Gardens,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Homestead,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Indian_Creek,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Key_Biscayne,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Medley,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami_Lakes,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami_Shores,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miami_Springs,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/North_Bay_Village,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/North_Miami,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/North_Miami_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Opa-locka,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Palmetto_Bay,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Pinecrest,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/South_Miami,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Sunny_Isles_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Surfside,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Sweetwater,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Virginia_Gardens,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/West_Miami,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Coconut_Creek,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Cooper_City,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Coral_Springs,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Dania_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Davie,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Deerfield_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Hallandale_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Hillsboro_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Hollywood,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Lauderdale_Lakes,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Lauderdale-By-The-Sea,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Lauderhill,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Lazy_Lake,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Lighthouse_Point,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Margate,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Miramar,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/North_Lauderdale,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Oakland_Park,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Parkland,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Pembroke_Park,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Plantation,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
"https://en.wikipedia.org/wiki/Sea_Ranch_Lakes,_Florida",en.wikipedia.org,City reference,Deep city facts for hub pages
