building_name,county,city,zip,address,tri_county,signal_count,signals,fha_status,fha_method,fha_exp,va_status,va_date,conv_review,conv_date,sb4d,sb4d_bldgs_3plus,sb4d_units,sirs_filed,registry_status,registry_enf,recert_year,recert_status,precon,precon_status
Byron East,MIAMI-DADE,Miami Beach,33141,7601 BYRON AVE MIAMI BEACH,Yes,4,VA-Rejected; FHA-NotApproved; Registry-Enforcement; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,12/01/2020,,,Yes,1,20,No match,Expired,Yes,2027,In Progress,,
Sixth Moorings,MIAMI-DADE,Miami,33179,18555 NE 14TH AVE MIAMI,Yes,4,VA-Rejected; FHA-NotApproved; Registry-Enforcement; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,10/04/2022,,,,,,,Expired,Yes,2027,In Progress,,
1800 Biscayne Plaza,MIAMI-DADE,Miami,33132,275 NE 18TH ST MIAMI,Yes,3,VA-Rejected; FHA-NotApproved; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,03/11/2015,Full,2026-03-26,Yes,1,2063,Yes,,,2027,In Progress,,
601 CONDOMINIUM,MIAMI-DADE,Miami Beach,33139,601 MICHIGAN AVE,Yes,3,VA-Rejected; Registry-Enforcement; Recert-Open,,,,Rejected,11/18/2022,,,,,,,Expired,Yes,2027,In Progress,,
900 Biscayne Bay,MIAMI-DADE,Miami,33132,900 BISCAYNE BLVD MIAMI,Yes,3,VA-Rejected; FHA-NotApproved; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,09/15/2020,,,Yes,1,550,No match,,,2028,In Progress,,
Admiral Towers,MIAMI-DADE,Miami Beach,33139,1020 MERIDIAN AVE MIAMI BEACH,Yes,3,VA-Rejected; FHA-NotApproved; Recert-Open,Expired,HRAP,,Rejected,04/23/2026,,,Yes,1,128,Yes,Issued,No,2028,In Progress,,
Baylofts,MIAMI-DADE,Miami,33137,455 NE 25TH ST MIAMI,Yes,3,VA-Rejected; FHA-NotApproved; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,01/31/2019,,,Yes,3,38,Yes,Issued,No,2028,In Progress,,
Canvas Condominium,MIAMI-DADE,Miami,33132,1600 NE 1ST AVE.#1515 MIAMI,Yes,3,VA-Rejected; FHA-NotApproved; Recert-Open,Rejected Single-Unit Approval,HRAP,,Rejected,04/18/2022,,,Yes,1,513,No match,Issued,No,2028,In Progress,,
Carmel Lakes #8,MIAMI-DADE,Miami,33179,20731 NE 4TH PL MIAMI,Yes,3,FHA-NotApproved; Registry-Enforcement; Recert-Open,Rejected Single-Unit Approval,HRAP,,,,,,,,,,Expired,Yes,2024,In Progress,,
Chancellor Hall,MIAMI-DADE,MIAMI BEACH,33162,1850 NE 169TH ST NORTH MIAMI BEACH,Yes,3,FHA-NotApproved; Registry-Enforcement; Recert-Open,Rejected Single-Unit Approval,HRAP,,,,,,Yes,1,51,No match,Expired,Yes,2024,In Progress,,
