company,type,developments,headquarters,url_slug
Arquitectonica,Architecture Firm,69,"2900 Oak Avenue, Miami, FL, USA, 33133",developers-arquitectonica
Related Group,Development Company,47,"2850 Tigertail Ave, Ste 800, Miami, FL 33133",developers-related-group
Sieger Suarez Architects,Architecture Firm,31,,developers-sieger-suarez-architects
Kobi Karp Architecture & Interior Design,Architecture Firm,26,"571 NW 28th St, Miami, FL 33127",developers-kobi-karp-architecture-interior-design
ArquitectonicaGEO,Landscape Design Firm,23,"2900 Oak Avenue, Miami, FL 33133",developers-arquitectonicageo
CFE Architects,Architecture Firm,22,,developers-cfe-architects
Enea Landscape Architecture,Landscape Design Firm,21,"Buechstrasse 12, 8645 Rapperswil-Jona, Switzerland.",developers-enea-landscape-architecture
Revuelta Architecture International,Architecture Firm,16,"2950 SW 27th Ave, Ste 110, Miami, FL 33133",developers-revuelta-architecture-international
Revuelta Vega Leon,Architecture Firm,16,"13280 SW 131 Street, Suite 107, Miami, FL 33186",developers-revuelta-vega-leon
Property Markets Group,Development Company,15,"398 NE 5th St, 13th Floor, Miami, FL 33132",developers-property-markets-group
Swire Properties,Development Company,14,"Three Brickell City Centre, 98 SE 7th St, Suite 500, Miami, FL 33131",developers-swire-properties
Behar Font & Partners,Architecture Firm,13,"4533 Ponce De Leon Blvd., Coral Gables, FL 33146",developers-behar-font-partners
ODP Architecture & Design,Architecture Firm,13,"2432 Hollywood Blvd, Hollywood, FL 33020",developers-odp-architecture-design
Urban Robot Associates,Landscape Design Firm,13,"420 Lincoln Road, Suite 600, Miami Beach, FL 33139",developers-urban-robot-associates
Carlos Ott Architects,Architecture Firm,12,"1300 Brickell Bay Dr Apt 602, Miami, Florida, 33131",developers-carlos-ott-architects
Terra,Development Company,12,"3310 Mary Street, Suite 302, Coconut Grove, FL 33133",developers-terra
Bermello Ajamil & Partners,Architecture Firm,11,"4711 South LeJeune Road, Coral Gables, FL 33146",developers-bermello-ajamil-partners
Meyer Davis Studio,Interior Design Firm,11,"180 Varick St, Ste 404, New York, NY 10014",developers-meyer-davis-studio
Fortune International Group,Development Company,10,"1300 Brickell Avenue, Miami, Florida 33131",developers-fortune-international-group
Frankel Benayoun Architects,Architecture Firm,10,"1166 Kane Concourse, Suite 200, Bay Harbor Islands, FL 33154",developers-frankel-benayoun-architects
Fullerton Diaz Architects,Architecture Firm,10,,developers-fullerton-diaz-architects
ArquitectonicaINTERIORS,Interior Design Firm,9,"2900 Oak Avenue, Miami, FL, 33133",developers-arquitectonicainteriors
CMC Group,Development Company,9,"1550 Biscayne Blvd, Ste 300, Miami, FL 33132",developers-cmc-group
Dezer Development,Development Company,8,"18001 Collins Avenue, 31st Floor, Sunny Isles Beach, FL 33160",developers-dezer-development
Nichols Architects,Architecture Firm,8,"2 Alhambra Plaza, Suite 1020, Coral Gables, FL 33134",developers-nichols-architects
Adriana Hoyos Design Studio,Interior Design Firm,7,"2725 Salzedo Street, Coral Gables, FL 33134",developers-adriana-hoyos-design-studio
Cotofana Designs,Interior Design Firm,7,,developers-cotofana-designs
Island Developers,Development Company,7,,developers-island-developers
Lissoni Associati,Interior Design Firm,7,"Via Goito, 9, 20121 Milano, Italy",developers-lissoni-associati
Yabu Pushelberg,Interior Design Firm,7,"66 White Street, 3F, NY 10013",developers-yabu-pushelberg
GFO Investments,Development Company,6,"135 NE 6th St, Miami, FL 33132",developers-gfo-investments
Interiors by Steven G,Interior Design Firm,6,"2818 Center Port Circle, Pompano Beach, FL 33064",developers-interiors-by-steven-g
Naturalficial,Landscape Design Firm,6,"5879 Sunset Drive, Suite 2, South Miami, FL 33143",developers-naturalficial
Rockwell Group,Interior Design Firm,6,"5 Union Square West, 8th Floor, New York, NY 10003",developers-rockwell-group
The Melo Group,Development Company,6,"425 NE 22nd St, Ste 301, Miami, FL 33137",developers-the-melo-group
DesignAgency,Interior Design Firm,5,845 Adelaide St. W.,developers-designagency
EDSA,Landscape Design Firm,5,"2811 McKinney Avenue, Suite 315, Dallas, Texas 75204",developers-edsa
Fisher Island Holdings,Development Company,5,,developers-fisher-island-holdings
J. Scott Architecture,Architecture Firm,5,,developers-j-scott-architecture
Key International,Development Company,5,"848 Brickell Ave, Ste 1100, Miami, FL 33131",developers-key-international
"Raymond Jungles, Inc.",Landscape Design Firm,5,"2964 Aviation Avenue, Miami, FL 33133",developers-raymond-jungles-inc
The Ritz-Carlton,Brand Partner,5,"7750 Wisconsin Ave, Bethesda, MD 20814",developers-the-ritz-carlton
13th Floor Investments,Development Company,4,"2850 Tigertail Ave, Ste 701, Miami, FL 33133",developers-13th-floor-investments
Aria Development Group,Development Company,4,"3050 Biscayne Blvd, STE 301, Miami, FL 33137",developers-aria-development-group
AvroKO,Interior Design Firm,4,"265 Canal St., 4th FL, New York, NY 10013",developers-avroko
Blue Road,Development Company,4,"1111 Kane Concourse, Ste 217, Bay Harbor Islands, Florida 33154",developers-blue-road
Continuum Company,Development Company,4,"49 West 23rd Street, 4th FL, New York, NY 10010",developers-continuum-company
CUBE 3,Architecture Firm,4,"56 High Street, North Andover, MA 01845",developers-cube-3
Fullerton Diaz Revuelta,Architecture Firm,4,,developers-fullerton-diaz-revuelta
Habitat Group,Development Company,4,"175 SW 7th ST Suite 2201, Miami, FL 33130",developers-habitat-group
L&ND Design,Landscape Design Firm,4,"7294 NW 1st Court, Miami, FL 33150",developers-l-nd-design
Lion Development Group,Development Company,4,,developers-lion-development-group
Newgard Development Group,Development Company,4,"1 SE 3rd Ave, Suite 3050, Miami, FL 33131",developers-newgard-development-group
Oppenheim Architecture & Design,Architecture Firm,4,"245 NE 37th Street, Miami, FL 33137",developers-oppenheim-architecture-design
Turnberry Associates,Development Company,4,"19501 Biscayne Blvd, Suite 400, Aventura, Florida 33180",developers-turnberry-associates
Two Roads Development,Development Company,4,"225 NE 34th St, Suite 201, Miami, FL 33137",developers-two-roads-development
YOO Studio,Interior Design Firm,4,"2 Bentinck St, London W1U 2FA, United Kingdom",developers-yoo-studio
Zyscovich Architects,Architecture Firm,4,"100 Biscayne Blvd., 27th Floor, Miami, FL 33132",developers-zyscovich-architects
Allen Morris Company,Development Company,3,"121 Alhambra Plz, PH1, Coral Gables, FL 33134",developers-allen-morris-company
Alta Developers,Development Company,3,"2950 SW 27th Avenue, Suite 220, Miami, FL 33133",developers-alta-developers
BH Group,Development Company,3,"2999 NE 191 Street, Penthouse 2, Aventura, Florida 33180",developers-bh-group
BI Group,Development Company,3,"175 SW 7th Street, Suite 1903, Miami, FL 33130",developers-bi-group
Charles H. Benson & Associates,Architecture Firm,3,"407 Lincoln Road, Suite 9-L, Miami Beach, FL 33139",developers-charles-h-benson-associates
Chateau Group,Development Company,3,"18851 NE 29th Avenue, Suite 1011-B, Aventura, FL 33180",developers-chateau-group
CLAD Landscape Architecture and Design,Landscape Design Firm,3,"8020 NE 4th Ave. Studio 113 Miami, FL 33138",developers-clad-landscape-architecture-and-design
Constellation Group,Development Company,3,"95 Merrick Way, Suite 518, Gables, FL 33134",developers-constellation-group
Fort Partners,Development Company,3,"500 W Cypress Creek Rd, Suite 330, Fort Lauderdale, FL 33309",developers-fort-partners
GTIS Partners,Development Company,3,"787 Seventh Avenue, 50th Fl, New York, NY 10019",developers-gtis-partners
ID & Design International,Interior Design Firm,3,"One North Ocean Blvd., Suite 106, Pompano Beach, Florida 33062",developers-id-design-international
Kohn Pedersen Fox Associates,Architecture Firm,3,"11 W 42nd St, New York, NY 10036",developers-kohn-pedersen-fox-associates
Lefferts,Development Company,3,"159 NE 6th Street, Suite 800, Miami, FL 33132",developers-lefferts
LNDMARK Development,Development Company,3,"10 W Mifflin Street, Suite 400, Madison, WI 53703",developers-lndmark-development
Mast Capital,Development Company,3,"2601 S Bayshore Dr, Ste 1600, Miami, FL 33133",developers-mast-capital
Merrimac Ventures,Development Company,3,"17 NE 4th St, Fort Lauderdale, FL 33301",developers-merrimac-ventures
MG Developer,Development Company,3,"2990 Ponce de Leon, Suite 101 Coral Gables, FL 33134",developers-mg-developer
Michele Bönan Interiors,Interior Design Firm,3,"Limonaia Torrigiani, Via dei Serragli, 144, 50124 Florence, Italy",developers-michele-b-nan-interiors
Multiplan Real Estate Asset Management,Development Company,3,"1450 Brickell Ave, Ste #2750. Miami, FL 33131",developers-multiplan-real-estate-asset-management
North Development,Development Company,3,"1200 Brickell Ave, Ste 1800, Miami, FL 33131",developers-north-development
OKO Group,Development Company,3,"4100 NE 2nd Ave, Ste 307, Miami, FL 33137",developers-oko-group
Regency Development Group,Development Company,3,"425 Huehl Rd, Northbrook, IL 60062",developers-regency-development-group
Robert A.M. Stern Architects,Architecture Firm,3,"One Park Avenue, New York, New York 10016",developers-robert-a-m-stern-architects
S2 Development,Development Company,3,"18851 NE 29th Avenue, Suite 1011, Aventura, FL 33180",developers-s2-development
St. Regis,Brand Partner,3,"7750 Wisconsin AveBethesda, MD 20814",developers-st-regis
St. Regis Hotels & Resorts,Hospitality Operator,3,"7750 Wisconsin AveBethesda, MD 20814",developers-st-regis-hotels-resorts
Starwood Capital Group,Development Company,3,"2340 Collins Ave, Miami Beach, FL 33139",developers-starwood-capital-group
Studio Ramirez,Interior Design Firm,3,"7265 NE 4th Ave, Suite 101, Miami, FL 33138",developers-studio-ramirez
The Boschetti Group,Development Company,3,"5701 Sunset Dr, Suite 128, South Miami, FL 33143",developers-the-boschetti-group
Vertical Developments,Development Company,3,"2333 Ponce de Leon Blvd, Ste 630, Coral Gables, FL 33134",developers-vertical-developments
Wexford Capital,Development Partner,3,,developers-wexford-capital
A++,Interior Design Firm,2,"Via S. Gottardo 53, 6900 Massagno, Switzerland",developers-a
ACPV Architects,Interior Design Firm,2,"Via Cerva 4, 20122 Milano, Italy",developers-acpv-architects
Adrian Smith + Gordon Gill Architecture,Interior Design Firm,2,"30 West Monroe Street, Suite 400, Chicago, IL 60603",developers-adrian-smith-gordon-gill-architecture
ALTA Development,Development Company,2,"9155 South Dadeland Boulevard #1506, Miami, FL 33156",developers-alta-development
Antrobus + Ramirez,Interior Design Firm,2,,developers-antrobus-ramirez
BAP Development,Development Company,2,,developers-bap-development
Bodas Miani Anger,Architecture Firm,2,"Juan Francisco Seguí 3920, C1425ACJ City of Buenos Aires, Argentina",developers-bodas-miani-anger
Bradshaw Gill Fuster & Associates,Landscape Design Firm,2,,developers-bradshaw-gill-fuster-associates
Bryan O'Sullivan Studio,Interior Design Firm,2,"9-12 Long Lane, Barbican, London EC1A 9HA, United Kingdom",developers-bryan-o-sullivan-studio
Built Form,Architecture Firm,2,"935 W Chestnut Street, #520, Chicago, IL 60642",developers-built-form
Carla Guilhem Design,Interior Design Firm,2,"3401 N Miami Ave, Ste 227, Miami, FL 33127",developers-carla-guilhem-design
Cipriani,Brand Partner,2,"110 East 42nd Street, New York, NY 10017",developers-cipriani
Consultatio Real Estate,Development Company,2,"Leandro N. Alem 815, Piso 12 C1001AAD Buenos Aires, Argentina",developers-consultatio-real-estate
Craft,Interior Design Firm,2,,developers-craft
David O. Design,Landscape Design Firm,2,"2686 SW 28th Ln, Miami, FL 33133",developers-david-o-design
De La Guardia Victoria Architects & Urbanists,Architecture Firm,2,"224 Valencia Ave, Coral Gables, FL 33134",developers-de-la-guardia-victoria-architects-urbanists
Debora Aguiar Arquitetos,Interior Design Firm,2,"Rua Groenlândia, 405, São Paulo, SP, 01434-000, Brazil",developers-debora-aguiar-arquitetos
Domus Management,Hospitality Operator,2,,developers-domus-management
Durukan Design,Interior Design Firm,2,"55 Washington Street, Suite 508, Brooklyn, NY 11201",developers-durukan-design
E11EVEN,Brand Partner,2,"29 NE 11th St, Miami, FL 33132",developers-e11even
E11EVEN Partners,Development Company,2,,developers-e11even-partners
Faena,Brand Partner,2,"3201 Collins Avenue, Faena District Miami Beach FL, 33140",developers-faena
Fortis Design + Build,Project Management,2,"2601 NE 2nd Ave, Miami 33137, Miami, FL 33137",developers-fortis-design-build
Four Seasons,Brand Partner,2,"1165 Leslie Street, Suite 600, Toronto, Ontario M3C 2K8, Canada",developers-four-seasons
Gregg Covin Real Estate Development,Development Company,2,,developers-gregg-covin-real-estate-development
Greybrook Realty Partners,Development Company,2,"890 Yonge Street, 7th Floor, Toronto, Ontario M4W 3P4, Canada",developers-greybrook-realty-partners
H.L. Martin Landscape Architect,Landscape Design Firm,2,"5965 SW 38th St, Miami, FL 33155",developers-h-l-martin-landscape-architect
Hirsch Bedner Associates,Interior Design Firm,2,"135 Cecil St, #01-01, Singapore 069536, Singapore",developers-hirsch-bedner-associates
Hyperion Group,Development Company,2,"888 Biscayne Blvd,  Suite 101, Miami, FL  33132",developers-hyperion-group
Integra Investments,Development Company,2,"150 SE 2nd Ave, Ste. 800, Miami, FL, 33131",developers-integra-investments
JDS Development Group,Development Company,2,"120 NE 27th Street, Miami, FL 33137",developers-jds-development-group
Lionstone Development,Development Company,2,"4100 NE 2nd Avenue Suite 202 Miami, Florida 33137",developers-lionstone-development
March and White Design,Interior Design Firm,2,"1st Floor North, St. Christopher's House, 27 St. Christopher's Place, London, W1U 1NZ, United Kingdom",developers-march-and-white-design
Martin Z. Margulies,Development Company,2,"591 NW 27th St, Miami, FL 33127",developers-martin-z-margulies
META Development,Development Company,2,"3390 Mary Street, Suite 270, Coconut Grove, FL 33133",developers-meta-development
Midtown Development,Development Company,2,"5701 Sunset Dr, Suite 350, South Miami, Florida 33143",developers-midtown-development
Midtown Group,Development Company,2,,developers-midtown-group
