building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
1 Hotel & Homes South Beach,South Beach,148,17,2015,Yes,Yes/Hotel Prog.,"HKS Inc., Kobi Karp Architecture & Interior Design",LeFrak,condos-south-beach-1-hotel-homes-south-beach,developers-lefrak
100 Andalusia,Coral Gables,96,8,2005,No,No,,,condos-coral-gables-100-andalusia,developers
1000 Venetian Way,Venetian Islands,117,22,1983,No,No,,,condos-venetian-islands-1000-venetian-way,developers
1010 Brickell,Brickell,387,49,2017,No,No,Sieger Suarez Architects,Key International,condos-brickell-1010-brickell,developers-key-international
1060 Brickell (1050 Tower),Brickell,262,35,2008,No,No,SB Architects,Extell Development,condos-brickell-1060-brickell-1050-tower,developers-extell-development
1060 Brickell (1060 Tower),Brickell,314,46,2008,No,No,SB Architects,Extell Development,condos-brickell-1060-brickell-1060-tower,developers-extell-development
1100 Millecento,Brickell,382,43,2015,No,No,Carlos Ott Architects,Related Group,condos-brickell-1100-millecento,developers-related-group
1300 Ponce Condo,Coral Gables,124,12,2009,Unknown,,Fullerton Diaz Architects,,condos-coral-gables-1300-ponce-condo,developers
1500 Ocean Drive,South Beach,113,16,1998,No,No,,,condos-south-beach-1500-ocean-drive,developers
1800 Biscayne Plaza,Edgewater,195,22,2005,Unknown,,,The Melo Group,condos-edgewater-1800-biscayne-plaza,developers-the-melo-group
1800 Club,Edgewater,469,42,2007,No,No,Bermello Ajamil & Partners,BCOM,condos-edgewater-1800-club,
2 Midtown - The Mews,Midtown Miami,14,7,2007,No,No,Zyscovich Architects,Midtown Group,condos-midtown-miami-2-midtown-the-mews,developers-midtown-group
2 Midtown - The Midrise,Midtown Miami,62,10,2007,No,No,Zyscovich Architects,Midtown Group,condos-midtown-miami-2-midtown-the-midrise,developers-midtown-group
2 Midtown - The Tower,Midtown Miami,261,31,2007,No,No,Zyscovich Architects,Midtown Group,condos-midtown-miami-2-midtown-the-tower,developers-midtown-group
23 Biscayne Bay,Edgewater,96,18,2012,Unknown,,,The Melo Group,condos-edgewater-23-biscayne-bay,developers-the-melo-group
250 Wynwood,Wynwood,11,6,2015,Unknown,,,,condos-wynwood-250-wynwood,developers
26 Edgewater,Edgewater,86,10,2018,Unknown,,,Stripey Real Estate Development,condos-edgewater-26-edgewater,developers-stripey-real-estate-development
3030 Aventura,Aventura,45,7,2007,Unknown,,,,condos-aventura-3030-aventura,developers
321 Ocean,South of Fifth,21,9,2015,No,No,TEN Arquitectos,AGM Aria,condos-south-of-fifth-321-ocean,developers-agm-aria
360 Condo A,North Bay Village,278,16,2007,Unknown,,,,condos-north-bay-village-360-condo-a,developers
360 Condo B,North Bay Village,99,12,2007,Unknown,,,,condos-north-bay-village-360-condo-b,developers
360 Condo C,North Bay Village,36,3,2007,Unknown,,,,condos-north-bay-village-360-condo-c,developers
4 Midtown,Midtown Miami,392,33,2008,No,No,Nichols Architects,Midtown Group,condos-midtown-miami-4-midtown,developers-midtown-group
400 Sunny Isles,Sunny Isles Beach,230,21,2015,Unknown,,Oppenheim Architecture & Design,Key International,condos-sunny-isles-beach-400-sunny-isles,developers-key-international
42 Pine,Miami Beach,50,7,2025,Unknown,,Arquitectonica,,condos-miami-beach-42-pine,developers
50 Biscayne,Downtown Miami,527,54,2007,No,No,Sieger Suarez Architects,Related Group,condos-downtown-miami-50-biscayne,developers-related-group
500 Brickell East,Brickell,320,43,2008,No,No,Arquitectonica,Related Group,condos-brickell-500-brickell-east,developers-related-group
500 Brickell West,Brickell,315,43,2008,No,No,Arquitectonica,Related Group,condos-brickell-500-brickell-west,developers-related-group
501 FIRST Residences,Downtown Miami,476,40,2026,Yes,Yes,Revuelta Architecture International,Aria Development Group,condos-downtown-miami-501-first-residences,developers-aria-development-group
55 Merrick,Coral Gables,166,8,2008,Unknown,,Fullerton Diaz Architects,,condos-coral-gables-55-merrick,developers
57 Ocean,Miami Beach,69,19,2021,No,No,Arquitectonica,Multiplan Real Estate Asset Management,condos-miami-beach-57-ocean,developers-multiplan-real-estate-asset-management
72 Park,Miami Beach,206,22,2025,Unknown,,Built Form,Lefferts,condos-miami-beach-72-park,developers-lefferts
900 Biscayne Bay,Park West,508,63,2008,No,No,Revuelta Vega Leon,Terra,condos-park-west-900-biscayne-bay,developers-terra
Acqualina Residences,Sunny Isles Beach,,51,2006,Unknown,,,,condos-sunny-isles-beach-acqualina-residences,developers
Akoya,Miami Beach,385,47,2004,No,No,,,condos-miami-beach-akoya,developers
Alana Bay Harbor Islands,Bay Harbor Islands,29,7,2025,Unknown,,,Alta Developers,condos-bay-harbor-islands-alana-bay-harbor-islands,developers-alta-developers
Alaqua,Aventura,193,7,2007,Unknown,,,,condos-aventura-alaqua,developers
Alliage Lofts,South Beach,12,5,2004,Unknown,,,,condos-south-beach-alliage-lofts,developers
Apogee South Beach,South of Fifth,67,23,2008,No,No,Sieger Suarez Architects,Related Group,condos-south-of-fifth-apogee-south-beach,developers-related-group
Aria on the Bay,Edgewater,648,53,2018,No,No,,The Melo Group,condos-edgewater-aria-on-the-bay,developers-the-melo-group
Aria Reserve South,Edgewater,383,62,2025,No,No,Arquitectonica,The Melo Group,condos-edgewater-aria-reserve-south,developers-the-melo-group
Arlen House Condo,Sunny Isles Beach,312,22,1968,Unknown,,,,condos-sunny-isles-beach-arlen-house-condo,developers
Arlen House East,Sunny Isles Beach,599,22,1975,Unknown,,,,condos-sunny-isles-beach-arlen-house-east,developers
Arlen House West,Sunny Isles Beach,312,22,1969,Unknown,,,,condos-sunny-isles-beach-arlen-house-west,developers
Arte,Surfside,16,12,2020,No,No,ACPV Architects,Sapir Corp LTD,condos-surfside-arte,developers-sapir-corp-ltd
Artech,Aventura,231,9,2008,Unknown,,Carlos Ott Architects,Fortune International Group,condos-aventura-artech,developers-fortune-international-group
Artecity Governor,South Beach,61,3,1936,Unknown,,,,condos-south-beach-artecity-governor,developers
Artecity Plaza,South Beach,7,2,1948,Unknown,,,,condos-south-beach-artecity-plaza,developers
Artepark North,South Beach,55,6,2011,Unknown,,,,condos-south-beach-artepark-north,developers
Artepark South,South Beach,57,5,2011,Unknown,,,,condos-south-beach-artepark-south,developers
Asia,Brickell Key,122,36,2008,No,No,,Swire Properties,condos-brickell-key-asia,developers-swire-properties
Aston Martin Residences,Downtown Miami,392,66,2024,No,No,Bodas Miani Anger,G&G Business Developments,condos-downtown-miami-aston-martin-residences,developers-g-g-business-developments
Atlantis on Brickell,Brickell,96,21,1982,Unknown,,Arquitectonica,,condos-brickell-atlantis-on-brickell,developers
Aurora,Sunny Isles Beach,61,17,2023,Unknown,,,,condos-sunny-isles-beach-aurora,developers
Aventura Marina 1,Aventura,126,18,2005,Unknown,,,Related Group,condos-aventura-aventura-marina-1,developers-related-group
Aventura Marina 2,Aventura,250,32,2006,Unknown,,,Related Group,condos-aventura-aventura-marina-2,developers-related-group
Axis on Brickell North,Brickell,366,40,2008,No,No,Arquitectonica,Brack Capital Real Estate,condos-brickell-axis-on-brickell-north,developers-brack-capital-real-estate
Axis on Brickell South,Brickell,352,40,2008,No,No,Arquitectonica,Brack Capital Real Estate,condos-brickell-axis-on-brickell-south,developers-brack-capital-real-estate
Azure,Surfside,73,12,2005,Unknown,,Revuelta Vega Leon,Azure Beach Development,condos-surfside-azure,developers-azure-beach-development
Bal Harbour 101,Bal Harbour,171,20,1977,Unknown,,,,condos-bal-harbour-bal-harbour-101,developers
Balmoral,Bal Harbour,423,21,1977,Unknown,,,,condos-bal-harbour-balmoral,developers
Baltus House,Miami Design District,167,16,2015,No,No,CFE Architects,Related Group,condos-miami-design-district-baltus-house,developers-related-group
Bay Harbor Club,Bay Harbor Islands,42,8,2015,Unknown,,,Blue Road,condos-bay-harbor-islands-bay-harbor-club,developers-blue-road
Bay Harbor One,Bay Harbor Islands,36,8,2019,Unknown,,,,condos-bay-harbor-islands-bay-harbor-one,developers
Bay House,Edgewater,165,38,2015,No,No,The Melo Group,The Melo Group,condos-edgewater-bay-house,developers-the-melo-group
Bayside Village,Fisher Island,,,,Unknown,,,Island Developers,condos-fisher-island-bayside-village,developers-island-developers
Bayview,Fisher Island,,,,Unknown,,,Island Developers,condos-fisher-island-bayview,developers-island-developers
Beach House 8,Miami Beach,7,10,2016,Unknown,,Arquitectonica,,condos-miami-beach-beach-house-8,developers
Beacon Harbour,Coconut Grove,9,6,2004,Unknown,,,,condos-coconut-grove-beacon-harbour,developers
Bel Aire on the Ocean,Miami Beach,129,19,2004,Unknown,,,,condos-miami-beach-bel-aire-on-the-ocean,developers
Bellini Bal Harbour,Bal Harbour,77,23,2004,Unknown,,CFE Architects,Martin Z. Margulies,condos-bal-harbour-bellini-bal-harbour,developers-martin-z-margulies
Bentley Bay North,South Beach,87,24,2004,Unknown,,Arquitectonica,Florida Development Associates,condos-south-beach-bentley-bay-north,developers-florida-development-associates
Bentley Bay South,South Beach,80,26,2004,Unknown,,Arquitectonica,Florida Development Associates,condos-south-beach-bentley-bay-south,developers-florida-development-associates
Biscayne Beach,Edgewater,391,52,2017,No,No,WHLC Architecture,GTIS Partners,condos-edgewater-biscayne-beach,developers-gtis-partners
Blue Diamond,Miami Beach,310,45,2000,No,No,,,condos-miami-beach-blue-diamond,developers
Blue on the Bay,Edgewater,328,36,2005,No,No,Arquitectonica,Hyperion Group,condos-edgewater-blue-on-the-bay,developers-hyperion-group
Botanica at Key Colony,Key Biscayne,292,4,1981,Unknown,,,,condos-key-biscayne-botanica-at-key-colony,developers
Brickell Arch,Brickell,116,36,2004,Unknown,,Kohn Pedersen Fox Associates,Estoril,condos-brickell-brickell-arch,
Brickell Bay Club,Brickell,442,31,1974,No,No,,,condos-brickell-brickell-bay-club,developers
Brickell East,Brickell,64,28,1983,Unknown,,,,condos-brickell-brickell-east,developers
Brickell Flatiron,Brickell,523,64,2019,No,No,Revuelta Architecture International,CMC Group,condos-brickell-brickell-flatiron,developers-cmc-group
Brickell Harbour,Brickell,157,18,1974,Unknown,,,,condos-brickell-brickell-harbour,developers
Brickell Heights East,Brickell,358,49,2017,No,No,Arquitectonica,Related Group,condos-brickell-brickell-heights-east,developers-related-group
Brickell Heights West,Brickell,332,46,2017,No,No,Arquitectonica,Related Group,condos-brickell-brickell-heights-west,developers-related-group
Brickell House,Brickell,374,45,2014,No,No,Sieger Suarez Architects,Newgard Development Group,condos-brickell-brickell-house,developers-newgard-development-group
Brickell Key One,Brickell Key,315,22,1982,No,No,,Swire Properties,condos-brickell-key-brickell-key-one,developers-swire-properties
Brickell Key Two,Brickell Key,390,18,1991,No,No,,Swire Properties,condos-brickell-key-brickell-key-two,developers-swire-properties
Brickell on the River North,Brickell,384,43,2006,No,No,CFE Architects,Groupe Pacific International,condos-brickell-brickell-on-the-river-north,developers-groupe-pacific-international
Brickell on the River South,Brickell,327,46,2006,No,No,CFE Architects,Groupe Pacific International,condos-brickell-brickell-on-the-river-south,developers-groupe-pacific-international
Brickell Place I,Brickell,274,23,1975,Unknown,,,,condos-brickell-brickell-place-i,developers
Brickell Place II,Brickell,302,26,1975,Unknown,,,,condos-brickell-brickell-place-ii,developers
Brickell Place III,Brickell,175,18,1980,Unknown,,,,condos-brickell-brickell-place-iii,developers
Brickell Place IV,Brickell,219,23,1980,Unknown,,,,condos-brickell-brickell-place-iv,developers
Brickell Ten,Brickell,155,22,2016,No,No,,,condos-brickell-brickell-ten,developers
Brickell Townhouse,Brickell,351,22,1963,No,No,Steward-Skinner Associates,,condos-brickell-brickell-townhouse,developers
Bristol Tower,Brickell,146,41,1993,No,No,Fullerton Diaz Revuelta,CMC Group,condos-brickell-bristol-tower,developers-cmc-group
Canvas,A+E District,513,38,2018,No,No,CFE Architects,NR Investments,condos-a-e-district-canvas,developers-nr-investments
Capri South Beach Building A,South Beach,6,3,2008,No,No,,,condos-south-beach-capri-south-beach-building-a,developers
Capri South Beach Building B,South Beach,55,14,2008,No,No,,,condos-south-beach-capri-south-beach-building-b,developers
Capri South Beach Building C,South Beach,6,6,2008,No,No,,,condos-south-beach-capri-south-beach-building-c,developers
Carbonell,Brickell Key,284,38,2005,No,No,,Swire Properties,condos-brickell-key-carbonell,developers-swire-properties
Carlisle on the Ocean,Surfside,115,12,1965,Unknown,,,,condos-surfside-carlisle-on-the-ocean,developers
Casa Del Mar,Key Biscayne,235,27,1971,Unknown,,,,condos-key-biscayne-casa-del-mar,developers
Cassa Brickell,Brickell,80,10,2016,Unknown,,,,condos-brickell-cassa-brickell,developers
Centro,Downtown Miami,352,37,2016,No,No,,Newgard Development Group,condos-downtown-miami-centro,developers-newgard-development-group
Champlain Towers East,Surfside,98,12,1994,Unknown,,,,condos-surfside-champlain-towers-east,developers
Champlain Towers North,Surfside,111,13,1981,Unknown,,,,condos-surfside-champlain-towers-north,developers
Charter Club,Edgewater,445,23,1973,Unknown,,,,condos-edgewater-charter-club,developers
Chateau Beach Residences,Sunny Isles Beach,81,33,2016,Unknown,,Kobi Karp Architecture & Interior Design,Chateau Group,condos-sunny-isles-beach-chateau-beach-residences,developers-chateau-group
Cielo on the Bay,North Bay Village,35,16,2009,Unknown,,Revuelta Vega Leon,,condos-north-bay-village-cielo-on-the-bay,developers
Cite on the Bay East,Edgewater,249,16,2004,No,No,,,condos-edgewater-cite-on-the-bay-east,developers
Cite on the Bay West,Edgewater,185,6,2004,No,No,,,condos-edgewater-cite-on-the-bay-west,developers
City 24,Edgewater,119,15,2008,Unknown,,Revuelta Vega Leon,,condos-edgewater-city-24,developers
Cloisters on the Bay,Coconut Grove,40,3,2002,Unknown,,,,condos-coconut-grove-cloisters-on-the-bay,developers
Club Tower One,Key Biscayne,93,21,1998,Unknown,,,,condos-key-biscayne-club-tower-one,developers
Club Tower Three,Key Biscayne,94,,1999,Unknown,,,,condos-key-biscayne-club-tower-three,developers
Club Tower Two,Key Biscayne,100,,1998,Unknown,,,,condos-key-biscayne-club-tower-two,developers
Commodore Club East,Key Biscayne,185,12,1971,Unknown,,,,condos-key-biscayne-commodore-club-east,developers
Commodore Club South,Key Biscayne,180,12,1974,Unknown,,,,condos-key-biscayne-commodore-club-south,developers
Commodore Club West,Key Biscayne,184,12,1973,Unknown,,,,condos-key-biscayne-commodore-club-west,developers
Continuum South Beach North Tower,South of Fifth,202,37,2008,Unknown,,Fullerton Diaz Architects,Continuum Company,condos-south-of-fifth-continuum-south-beach-north-tower,developers-continuum-company
Continuum South Beach South Tower,South of Fifth,294,42,2002,Unknown,,Fullerton Diaz Architects,Continuum Company,condos-south-of-fifth-continuum-south-beach-south-tower,developers-continuum-company
Costa Bella,Brickell,230,21,1977,Unknown,,,,condos-brickell-costa-bella,developers
Courts Brickell Key,Brickell Key,318,33,2002,No,No,,Swire Properties,condos-brickell-key-courts-brickell-key,developers-swire-properties
Courvoisier Courts,Brickell Key,270,27,1997,Unknown,,,Swire Properties,condos-brickell-key-courvoisier-courts,developers-swire-properties
District 225,Downtown Miami,343,37,2025,Yes,Yes/Airbnb,Sieger Suarez Architects,Related Group,condos-downtown-miami-district-225,developers-related-group
Dua Miami,Brickell,453,53,2016,No,No,Arquitectonica,Related Group,condos-brickell-dua-miami,developers-related-group
Echo Aventura East,Aventura,102,11,2015,Unknown,,Carlos Ott Architects,Property Markets Group,condos-aventura-echo-aventura-east,developers-property-markets-group
Echo Aventura West,Aventura,88,11,2015,Unknown,,Carlos Ott Architects,Property Markets Group,condos-aventura-echo-aventura-west,developers-property-markets-group
