name,role,company,title,current_projects,past_projects,website_linkedin,profile_depth,url_slug
Adam Neumann,Developer,Flow,Founder,Flow House,,,Full card,people-adam-neumann
Adriana Hoyos,Interior Designer,Adriana Hoyos Design Studio,"Founder, Creative Director, Principal",7200 Collins; Edge House; Melia Residences Miami; Shoma Bay; Square Hallandale; The Avenue Coral Gables; Vista Harbor Residences & Yacht Club,Smart Brickell,adrianahoyosdesignstudio.com/studio,Full card,people-adriana-hoyos
Alan Ojeda,Developer,Rilea Group,,,,,Role+company,people-alan-ojeda
Alex Karakhanian,,,,,,,Name only,people-alex-karakhanian
Alex Sapir,Developer,Sapir Corp LTD,,,,,Role+company,people-alex-sapir
Alex Troyanovsky,Broker,Dezer Platinum Realty,,,,,Role+company,people-alex-troyanovsky
Alex Witkoff,Developer,Witkoff,,,,,Role+company,people-alex-witkoff
Alfredo Lowenstein,Developer,Lionstone Development,,,,,Role+company,people-alfredo-lowenstein
Alicia Cervera,Broker,Cervera Real Estate,,,,,Role+company,people-alicia-cervera
Alicia Cervera Lamadrid,Broker,Cervera Real Estate,,,,,Role+company,people-alicia-cervera-lamadrid
Alison Antrobus,Interior Designer,Antrobus + Ramirez,,,,,Role+company,people-alison-antrobus
Amancio Ortega,Developer,Pontegadea Group,,,,,Role+company,people-amancio-ortega
Andres Arcila,,,,,,,Name only,people-andres-arcila
Antonio Citterio,Interior Designer,ACPV Architects,,,,,Role+company,people-antonio-citterio
Art Falcone,Developer,Falcone Group,,,,,Role+company,people-art-falcone
Arturo Vidal,Developer,North Development,"Founder, Partner, VP of Finance",Domus Brickell Center; Domus Brickell Park; House of Wellness,,linkedin.com/in/arturovidal,Full card,people-arturo-vidal
Bekir Okan,Developer,Okan Group,,,,,Role+company,people-bekir-okan
Bernard Zyscovich,Architect,Zyscovich Architects,,,,,Role+company,people-bernard-zyscovich
Bernardo Fort-Brescia,Architect,Arquitectonica,,,,,Role+company,people-bernardo-fort-brescia
Bess Freedman,Broker,Brown Harris Stevens,,,,,Role+company,people-bess-freedman
Bragina Oksana,,,,,,,Name only,people-bragina-oksana
Bryan O'Sullivan,Interior Designer,Bryan O'Sullivan Studio,,,,,Role+company,people-bryan-o-sullivan
"Camilo Miguel, Jr.",Developer,Mast Capital,,,,,Role+company,people-camilo-miguel-jr
Carla Guilhem,Interior Designer,Carla Guilhem Design,,,,,Role+company,people-carla-guilhem
Carlos Ferreira de Melo,Developer,The Melo Group,,,,,Role+company,people-carlos-ferreira-de-melo
Carlos Ott,Architect,Carlos Ott Architects,,,,,Role+company,people-carlos-ott
Carlos Rosso,Developer,Rosso Development,,,,,Role+company,people-carlos-rosso
Carlos Zapata,Architect,Carlos Zapata Studio,,,,,Role+company,people-carlos-zapata
Cesar Paniagua,,,,,,,Name only,people-cesar-paniagua
Charles Allem,Interior Designer,CAD International,,,,,Role+company,people-charles-allem
Charles M. Sieger,Architect,Sieger Suarez Architects,,,,,Role+company,people-charles-m-sieger
Chris Long,,,,,,,Name only,people-chris-long
Christopher Cawley,Landscape Architect,Christopher Cawley Landscape Architecture,,,,,Role+company,people-christopher-cawley
Clarissa Richardson,,,,,,,Name only,people-clarissa-richardson
César Pelli,Architect,Pelli Clarke & Partners,,,,,Role+company,people-c-sar-pelli
Dan Kaplan,Architect,Kohn Pedersen Fox Associates,,,,,Role+company,people-dan-kaplan
Daniel Kodsi,Developer,Royal Palm Companies,,,,,Role+company,people-daniel-kodsi
David Chipperfield,Architect,David Chipperfield Architects,,,,,Role+company,people-david-chipperfield
David Rockwell,Interior Designer,Rockwell Group,,,,,Role+company,people-david-rockwell
Debora Aguiar,Interior Designer,Debora Aguiar Arquitetos,,,,,Role+company,people-debora-aguiar
Diego Ardid,Developer,Key International,,,,,Role+company,people-diego-ardid
Diego Lowenstein,Developer,Lionstone Development,,,,,Role+company,people-diego-lowenstein
Diego Ojeda,Developer,Rilea Group,,,,,Role+company,people-diego-ojeda
"Don Peebles, Jr.",Developer,Peebles Corporation,,,,,Role+company,people-don-peebles-jr
"Donahue Peebles, III",Developer,Peebles Corporation,,,,,Role+company,people-donahue-peebles-iii
Dora Puig,Broker,Luxe Living Realty,,,,,Role+company,people-dora-puig
Edgardo Defortuna,Developer,Fortune International Group,,,,,Role+company,people-edgardo-defortuna
Eduardo F. Costantini,Developer,Consultatio Real Estate,,,,,Role+company,people-eduardo-f-costantini
Eduardo Vargas,,,,,,,Name only,people-eduardo-vargas
Enrique Norten,Architect,TEN Arquitectos,,,,,Role+company,people-enrique-norten
Enzo Enea,Landscape Architect,Enea Landscape Architecture,,,,,Role+company,people-enzo-enea
Fernando de Nunez y Lugones,Developer,Vertical Developments,,,,,Role+company,people-fernando-de-nunez-y-lugones
Fernando Wong,Landscape Architect,Fernando Wong Outdoor Living Design,,,,,Role+company,people-fernando-wong
Funda Durukan,,,,,,,Name only,people-funda-durukan
Gary Barnett,Developer,Extell Development,,,,,Role+company,people-gary-barnett
Gary Handel,Architect,Handel Architects,,,,,Role+company,people-gary-handel
George Yabu,Interior Designer,Yabu Pushelberg,,,,,Role+company,people-george-yabu
German Coto,,,,,,,Name only,people-german-coto
Gil Dezer,Developer,Dezer Development,,,,,Role+company,people-gil-dezer
Giovanni Fasciano,Developer,Fasciano Investments,,,,,Role+company,people-giovanni-fasciano
Glenn Pushelberg,Interior Designer,Yabu Pushelberg,,,,,Role+company,people-glenn-pushelberg
Gregg Covin,,,,,,,Name only,people-gregg-covin
Harvey Hernandez,Developer,Newgard Development Group,,,,,Role+company,people-harvey-hernandez
Heidar Sadeki,,,,,,,Name only,people-heidar-sadeki
Henry Pino,,,,,,,Name only,people-henry-pino
Herbert Lester Martin,Landscape Architect,H.L. Martin Landscape Architect,,,,,Role+company,people-herbert-lester-martin
Hussain Sajwani,Developer,DAMAC International,,,,,Role+company,people-hussain-sajwani
Ian Bruce Eichner,,,,,,,Name only,people-ian-bruce-eichner
Ifhat Benayoun Fishman,Architect,Frankel Benayoun Architects,,,,,Role+company,people-ifhat-benayoun-fishman
Ignazio Cipriani,,,,,,,Name only,people-ignazio-cipriani
Igor Michin,,,,,,,Name only,people-igor-michin
Inigo Ardid,,,,,,,Name only,people-inigo-ardid
Isaac Toledano,Developer,BH Group,,,,,Role+company,people-isaac-toledano
Janice Clausen,,,,,,,Name only,people-janice-clausen
Jean-Georges Vongerichten,Chef,Jean-Georges Management,,,,,Role+company,people-jean-georges-vongerichten
Jean-Louis Deniot,Interior Designer,Jean-Louis Deniot SAS,,,,,Role+company,people-jean-louis-deniot
Jennifer McConney,,,,,,,Name only,people-jennifer-mcconney
John Cunningham,,,,,,,Name only,people-john-cunningham
Jon Paul Pérez,,,,,,,Name only,people-jon-paul-p-rez
