project,city,area,status,sold_out,str_allowed,str_detail,price_from,bedrooms,sf_range,units,floors,delivery,address,developer,url_slug,developer_page_slug
St. Regis Resort & Residences Bahia Mar,Fort Lauderdale,FTL Beach / Bahia Mar,Reservations,No,Varies,Resort tower = condo-hotel (79 resort residences + 197 hotel rooms); private towers residential,4400000,3-4BR private; resort units smaller,"2,600-3,550",160 private + 79 resort,23,,2029,2029,preconstruction-fort-lauderdale-st-regis-resort-residences-bahia-mar,
"The Ritz-Carlton Residences, Fort Lauderdale Beach",Fort Lauderdale,FTL Beach / Intracoastal,Reservations,No,No,Purely residential (contrast condo-hotel Ritz at 1 N FTL Beach Blvd),3400000,1BR+Den to 3BR,"1,550-3,480",83 + 6 PH,13,,2030,2030,preconstruction-fort-lauderdale-the-ritz-carlton-residences-fort-lauderdale-beach,
Viceroy Residences Fort Lauderdale,Fort Lauderdale,Downtown / Flagler Village,Under Construction,No,Unknown,Branded; h.wood Group restaurant/members club,500000,Studio to 4BR + PH,,370,45,,Q1 2029,2029,preconstruction-fort-lauderdale-viceroy-residences-fort-lauderdale,
Ombelle,Fort Lauderdale,Downtown / Flagler Village,Under Construction,No,Yes,Annual + short-term rentals allowed (30-day minimum),461000,Studios and 1-4BR,"465-2,618",754 (CBB) / 775 (TRD Apr 2026) - CONFLICT,44,,2028,2028,preconstruction-fort-lauderdale-ombelle,
Andare Residences by Pininfarina,Fort Lauderdale,Las Olas Blvd,Under Construction,No,No,,2000000,2-5BR,"1,800-4,300+",163,46,,2027,2027,preconstruction-fort-lauderdale-andare-residences-by-pininfarina,
Sage Intracoastal Residences,Fort Lauderdale,Intracoastal / Birch Rd,Under Construction,No,Unknown,,2900000,3-4BR flow-through,"2,767-3,191",44,28,,2027,2027,preconstruction-fort-lauderdale-sage-intracoastal-residences,
Riva Residenze,Fort Lauderdale,Harbor Beach,Under Construction,No,Unknown,Riva/Ferretti yacht brand,3500000,3-6BR,"2,000-8,800",36,20,,2027 or 2028 - CONFLICT,2027,preconstruction-fort-lauderdale-riva-residenze,
353 Sunset,Fort Lauderdale,Las Olas Isles / Sunset Lake,Delivered,No,Unknown,,4350000,,,8,4,,Delivered,,preconstruction-fort-lauderdale-353-sunset,developers
Sixth & Rio,Fort Lauderdale,Downtown / Rio Vista edge,Delivered,No,Yes,"Rentals allowed, 3-month minimum",790000,1-4BR,"742-2,296",94,9,,2024 (built),2024,preconstruction-fort-lauderdale-sixth-rio,
Bungalow East Residences,Fort Lauderdale,Birch Rd / Beach area,Under Construction,No,Yes,"Max 2x/year, 3-month minimum (no Airbnb)",2000000,"3-4BR + 2 rooftop PH (~4,000sf)","2,100-4,000",34 + 2 PH,14,,2027,2027,preconstruction-fort-lauderdale-bungalow-east-residences,
