project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
14ROC Miami,A+E District,Under Construction,No,Yes,Yes/Airbnb,648900,Studio to 2 Bedrooms,0.06,Q4 2027,2027,RSP Architects,GFO Investments,preconstruction-a-e-district-14roc-miami,developers-gfo-investments
2200 Brickell,Brickell,Topped Off,No,No,No,648900,1 to 4 Bedrooms,0.06,Q3 2026,2026,Revuelta Architecture International,Aria Development Group,preconstruction-brickell-2200-brickell,developers-aria-development-group
38 West Eleventh,Park West,Under Construction,No,Yes,Yes/Airbnb,,Studio to 1 Bedroom,0.06,Q1 2028,2028,Sieger Suarez Architects,Property Markets Group,preconstruction-park-west-38-west-eleventh,developers-property-markets-group
600 Miami Worldcenter,Park West,Topped Off,Yes,Yes,Yes/Airbnb,,Studio to 2 Bedrooms,,Q3 2026,2026,Revuelta Architecture International,Aria Development Group,preconstruction-park-west-600-miami-worldcenter,developers-aria-development-group
619 Brickell,Brickell,Reservations,No,No,No,,1 Bedroom + Den to 4 Bedrooms,0.06,2030,2030,Foster + Partners,13th Floor Investments,preconstruction-brickell-619-brickell,developers-13th-floor-investments
72 Carlyle,Miami Beach,In Contract,No,No,No,,1 to 3 Bedrooms,,Q4 2028,2028,Lissoni Associati,Lefferts,preconstruction-miami-beach-72-carlyle,developers-lefferts
7200 Collins,Miami Beach,Under Construction,No,Yes,Yes/Airbnb,,Junior 1 Bedroom to 2 Bedrooms,0.06,Q4 2027,2027,Revuelta Architecture International,Northlink Capital,preconstruction-miami-beach-7200-collins,developers-northlink-capital
888 Brickell by Dolce & Gabbana,Brickell,Halted,No,Yes,Yes,,1 to 4 Bedrooms,,,,Studio Sofield,JDS Development Group,preconstruction-brickell-888-brickell-by-dolce-gabbana,developers-jds-development-group
9900 West,Bay Harbor Islands,Topped Off,No,No,No,,2 to 4 Bedrooms,0.06,Q4 2026,2026,Frankel Benayoun Architects,The Horizon Group,preconstruction-bay-harbor-islands-9900-west,developers-the-horizon-group
Alhambra Parc,Coral Gables,In Contract,No,No,No,,1 to 3 Bedrooms,0.05,Q1 2029,2029,Bellin Pratt & Fuentes Architects,MG Developer,preconstruction-coral-gables-alhambra-parc,developers-mg-developer
